sd_m_2,d12,N 1,N 2,time1,time2
0.007,"7,00E-05",541.75,1334.5,"2,00E+08","2,00E+08"
0.007,0.00013,675.75,1243.5,"2,00E+08","2,00E+08"
0.007,0.00019,906.5,1011.75,"2,00E+08","2,00E+08"
0.007,0.00025,1072.25,827,"2,00E+08","2,00E+08"
0.007,0.00031,1280,589,"2,00E+08","2,00E+08"
0.007,0.00037,1631.75,285.25,"2,00E+08","2,00E+08"
0.007,0.00043,1705,133.5,"2,00E+08",150495000
0.007,0.00049,1854.25,42.25,"2,00E+08","2,00E+08"
0.007,0.00055,1834,23.75,"2,00E+08",100890000
0.007,0.00061,1823.5,8.25,"2,00E+08",51100000
0.009,"1,00E-05",288.5,1522.5,"2,00E+08","2,00E+08"
0.009,"7,00E-05",352.25,1432.75,"2,00E+08","2,00E+08"
0.009,0.00013,433,1484.25,"2,00E+08","2,00E+08"
0.009,0.00019,397.75,1436.75,"2,00E+08","2,00E+08"
0.009,0.00025,516,1378,"2,00E+08","2,00E+08"
0.009,0.00031,801.75,1092.75,"2,00E+08","2,00E+08"
0.009,0.00037,894.75,977,"2,00E+08","2,00E+08"
0.009,0.00043,1149.25,757.75,"2,00E+08","2,00E+08"
0.14,"1,00E-04",0,1601.25,1220000,"2,00E+08"
0.14,"2,00E-04",17.5,1536.25,50800000,"2,00E+08"
0.14,"3,00E-04",46,1513.25,100500000,"2,00E+08"
0.14,"4,00E-04",56.25,1520.75,100675000,"2,00E+08"
0.14,"5,00E-04",77.25,1503.25,150290000,"2,00E+08"
0.14,"6,00E-04",265.75,1416,"2,00E+08","2,00E+08"
0.14,"7,00E-04",422,1331.75,"2,00E+08","2,00E+08"
0.14,"8,00E-04",688,1025,"2,00E+08","2,00E+08"
0.14,"9,00E-04",1415.25,400.75,"2,00E+08","2,00E+08"
0.14,0.001,1817.25,0,"2,00E+08",685000
0.14,0.0011,1799,0,"2,00E+08",330000
0.15,"1,00E-04",0,1536.75,990000,"2,00E+08"
0.15,"2,00E-04",0,1527.5,1450000,"2,00E+08"
0.15,"3,00E-04",129.75,1480,"2,00E+08","2,00E+08"
0.15,"4,00E-04",117.25,1454.5,"2,00E+08","2,00E+08"
0.15,"5,00E-04",196,1402.75,"2,00E+08","2,00E+08"
0.15,"6,00E-04",389.5,1326.75,"2,00E+08","2,00E+08"
0.15,"7,00E-04",629.25,1128,"2,00E+08","2,00E+08"
0.15,"8,00E-04",843,940,"2,00E+08","2,00E+08"
0.15,"9,00E-04",1661.75,131.25,"2,00E+08",150275000
0.15,0.001,1867.75,0,"2,00E+08",515000
0.15,0.0011,1841.25,0,"2,00E+08",330000
0.16,"1,00E-04",20.75,1515,50825000,"2,00E+08"
0.16,"2,00E-04",79.5,1497.75,"2,00E+08","2,00E+08"
0.16,"3,00E-04",152.75,1471.75,"2,00E+08","2,00E+08"
0.16,"4,00E-04",378,1326.25,"2,00E+08","2,00E+08"
0.16,"5,00E-04",383,1321.5,"2,00E+08","2,00E+08"
0.16,"6,00E-04",637.25,1147.25,"2,00E+08","2,00E+08"
0.16,"7,00E-04",785.25,991.75,"2,00E+08","2,00E+08"
0.16,"8,00E-04",942.25,807.75,"2,00E+08","2,00E+08"
0.16,"9,00E-04",1803.5,0.25,"2,00E+08",50795000
0.16,0.001,1845.5,0,"2,00E+08",535000
0.16,0.0011,1825.25,0,"2,00E+08",260000
0.07,"7,00E-04",0,1831.5,595000,"2,00E+08"
0.07,0.00075,0,1770.5,740000,"2,00E+08"
0.07,"8,00E-04",0,1750.75,825000,"2,00E+08"
0.07,0.00085,0,1718.5,1050000,"2,00E+08"
0.07,"9,00E-04",0,1755.5,915000,"2,00E+08"
0.07,0.00095,0,1769.75,1195000,"2,00E+08"
0.07,0.001,449.75,1318.5,"2,00E+08","2,00E+08"
0.07,0.00105,663.5,1077,"2,00E+08","2,00E+08"
0.07,0.0011,1824,0,"2,00E+08",1365000
0.075,"7,00E-04",0,1730.5,725000,"2,00E+08"
0.075,0.00075,0,1747.25,670000,"2,00E+08"
0.075,"8,00E-04",0,1794.5,960000,"2,00E+08"
0.075,0.00085,0,1759,1130000,"2,00E+08"
0.075,"9,00E-04",51.75,1703.25,100910000,"2,00E+08"
0.075,0.00095,62.25,1715.25,50955000,"2,00E+08"
0.075,0.001,43.25,1694.75,150355000,"2,00E+08"
0.075,0.00105,407.5,1341.75,150415000,"2,00E+08"
0.075,0.0011,1803,18,"2,00E+08",50955000
0.08,"7,00E-04",0,1673.25,1055000,"2,00E+08"
0.08,0.00075,0,1742.75,835000,"2,00E+08"
0.08,"8,00E-04",5.25,1701,50810000,"2,00E+08"
0.08,0.00085,40,1691.25,50670000,"2,00E+08"
0.08,"9,00E-04",0,1745.5,1050000,"2,00E+08"
0.08,0.00095,266,1552.25,"2,00E+08","2,00E+08"
0.08,0.001,495.75,1349,"2,00E+08","2,00E+08"
0.08,0.00105,756,1055,"2,00E+08","2,00E+08"
0.08,0.0011,1803,0,"2,00E+08",855000
0.085,"7,00E-04",0,1744,795000,"2,00E+08"
0.085,0.00075,0,1772.75,785000,"2,00E+08"
0.085,"8,00E-04",33.75,1723.75,100920000,"2,00E+08"
0.085,0.00085,37.5,1637,100670000,"2,00E+08"
0.085,"9,00E-04",25.5,1718.5,50775000,"2,00E+08"
0.085,0.00095,185.5,1600.75,150500000,"2,00E+08"
0.085,0.001,656.5,1173.5,"2,00E+08","2,00E+08"
0.085,0.00105,1791.75,64.25,"2,00E+08",100550000
0.085,0.0011,1824,0,"2,00E+08",780000
0.09,"7,00E-04",25.25,1733.25,50575000,"2,00E+08"
0.09,0.00075,2,1720.5,50555000,"2,00E+08"
0.09,"8,00E-04",18.5,1655,50955000,"2,00E+08"
0.09,0.00085,30.75,1717.75,50890000,"2,00E+08"
0.09,"9,00E-04",146.25,1581.25,"2,00E+08","2,00E+08"
0.011,"1,00E-05",80.5,1631.75,150460000,"2,00E+08"
0.011,"7,00E-05",105.25,1709,100710000,"2,00E+08"
0.011,0.00013,200.75,1660,"2,00E+08","2,00E+08"
0.011,0.00019,252,1598.75,"2,00E+08","2,00E+08"
0.011,0.00025,275.5,1619.25,"2,00E+08","2,00E+08"
0.011,0.00031,496.5,1452.5,"2,00E+08","2,00E+08"
0.011,0.00037,481.75,1362,"2,00E+08","2,00E+08"
0.011,0.00043,764.25,1169.25,"2,00E+08","2,00E+08"
0.011,0.00049,948,971.25,"2,00E+08","2,00E+08"
0.011,0.00055,1184,692.75,"2,00E+08","2,00E+08"
0.011,0.00061,1597.75,222,"2,00E+08","2,00E+08"
0.013,"1,00E-05",0,1780,770000,"2,00E+08"
0.013,"7,00E-05",0,1697.5,1055000,"2,00E+08"
0.013,0.00013,0,1701.25,1105000,"2,00E+08"
0.013,0.00019,67.25,1716.75,100455000,"2,00E+08"
0.013,0.00025,40.75,1657,51030000,"2,00E+08"
0.013,0.00031,162.25,1576,"2,00E+08","2,00E+08"
0.013,0.00037,453,1504,"2,00E+08","2,00E+08"
0.013,0.00043,329.5,1600,"2,00E+08","2,00E+08"
0.013,0.00049,520,1379,"2,00E+08","2,00E+08"
0.013,0.00055,851.5,1077.25,"2,00E+08","2,00E+08"
0.013,0.00061,1277.25,660.75,"2,00E+08","2,00E+08"
0.015,"1,00E-05",0,1793,590000,"2,00E+08"
0.015,"7,00E-05",0,1685.5,715000,"2,00E+08"
0.015,0.00013,0,1750,730000,"2,00E+08"
0.015,0.00019,0,1725.25,1220000,"2,00E+08"
0.015,0.00025,0,1777.75,665000,"2,00E+08"
0.015,0.00031,25,1735.75,100445000,"2,00E+08"
0.015,0.00037,82,1707.25,100870000,"2,00E+08"
0.015,0.00043,72,1723,"2,00E+08","2,00E+08"
0.015,0.00049,348.25,1583.75,"2,00E+08","2,00E+08"
0.015,0.00055,396.75,1490.75,"2,00E+08","2,00E+08"
0.015,0.00061,762,1195,"2,00E+08","2,00E+08"
